Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
21:30:22,528,496,0,0
21:30:25,528,507,537.0,0
21:30:27,535,504,537.0,507.0
21:30:30,527,506,537.0,507.0
21:30:32,544,507,521.0,505.5
21:30:35,530,506,521.0,505.5
21:30:37,530,460,531.0,504.0
21:30:39,483,507,531.0,504.0
21:30:42,527,462,531.0,504.0
21:30:44,530,508,529.0,505.0
21:30:47,526,498,529.0,505.0
21:30:49,539,506,527.0,505.0
21:30:51,529,494,527.0,505.0
21:30:54,52,508,531.0,505.5
21:31:01,527,514,531.0,505.0
21:31:04,526,510,531.0,505.0
21:31:06,486,500,531.0,504.5
21:31:09,536,477,531.0,504.5
21:31:11,492,500,531.0,504.0
21:31:14,531,503,531.0,504.0
21:31:16,529,506,531.0,504.0
21:31:18,538,497,529.0,504.5
21:31:21,524,454,529.0,504.5
21:31:23,528,504,531.0,504.0
21:31:26,534,506,531.0,504.0
21:31:28,529,541,529.0,504.5
21:31:31,486,510,529.0,504.5
21:31:33,539,506,529.0,504.5
21:31:35,530,459,531.0,505.0
21:31:37,529,504,531.0,505.0
21:31:39,522,499,529.0,505.0
21:31:42,539,500,529.0,504.5
