Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
05:41:41,541,479,0,0
05:41:43,550,480,0,0
05:41:45,540,481,517.0,480.0
05:41:47,549,478,517.0,480.0
05:41:49,544,430,517.0,480.0
05:41:51,538,480,517.0,488.0
05:41:53,540,475,517.0,488.0
05:41:55,526,473,517.0,488.0
05:41:57,496,501,517.0,496.0
05:41:58,539,482,517.0,496.0
05:42:00,564,452,517.0,496.0
05:42:02,540,490,528.0,488.5
05:42:04,543,481,528.0,488.5
05:42:06,543,472,528.0,488.5
05:42:08,550,476,538.0,481.0
05:42:10,541,480,538.0,481.0
05:42:12,535,449,538.0,481.0
05:42:14,534,466,538.5,480.5
05:42:15,538,461,538.5,480.5
05:42:17,542,505,538.5,480.5
05:42:19,538,471,539.0,481.0
05:42:21,534,503,539.0,481.0
05:42:23,542,483,539.0,481.0
05:42:25,518,488,538.5,480.5
05:42:27,540,476,538.5,480.5
05:42:28,520,467,538.5,480.5
05:42:30,527,487,538.0,481.0
05:42:32,515,447,538.0,481.0
05:42:34,529,460,538.0,481.0
05:42:36,534,479,536.5,482.0
05:42:38,533,486,536.5,482.0
05:42:40,523,489,536.5,482.0
05:42:41,532,491,535.0,482.0
05:42:43,538,487,535.0,481.0
05:42:45,528,530,535.0,481.0
05:42:47,495,493,532.5,482.0
05:42:49,544,473,532.5,482.0
