Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
21:35:28,478,526,0,0
21:35:31,468,542,476.0,0
21:35:33,513,565,476.0,529.0
21:35:36,478,527,476.0,529.0
21:35:38,477,522,475.5,527.5
21:35:41,483,508,475.5,527.5
21:35:43,468,523,476.0,526.0
21:35:45,489,522,476.0,526.0
21:35:48,475,518,475.5,526.0
21:35:50,471,547,475.5,524.0
21:35:53,463,526,475.5,524.0
21:35:55,436,525,476.0,522.0
21:35:58,478,520,476.0,522.0
21:36:00,479,523,480.0,523.0
21:36:02,480,511,480.0,523.0
21:36:05,465,516,480.0,523.0
21:36:07,480,478,478.0,524.0
21:36:10,475,532,478.0,524.0
21:36:12,478,567,477.0,523.0
21:36:14,442,567,477.0,523.0
21:36:17,478,522,477.0,523.0
21:36:19,436,537,477.0,522.0
21:36:22,466,501,477.0,522.0
21:36:24,477,523,477.5,523.0
21:36:27,478,514,477.5,523.0
21:36:29,479,524,478.0,522.0
21:36:31,481,523,478.0,522.0
21:36:34,479,546,478.0,522.0
21:36:36,475,470,478.0,522.0
21:36:39,474,507,478.0,522.0
21:36:41,533,521,478.0,522.0
21:36:44,470,524,478.0,522.0
21:36:46,476,522,478.0,522.0
21:36:48,489,523,478.0,522.0
21:36:51,475,517,478.0,522.0
21:36:53,490,524,478.0,522.0
21:36:56,477,523,478.0,522.0
21:36:58,489,521,478.0,522.0
21:37:01,484,519,478.0,522.0
21:37:03,477,527,478.0,522.0
21:37:05,442,523,478.0,522.0
21:37:08,485,527,477.5,522.0
21:37:10,475,473,477.5,522.5
21:37:13,476,529,477.5,522.5
21:37:15,477,522,477.0,523.0
21:37:18,471,534,477.0,523.0
21:37:20,480,502,477.5,522.5
21:37:22,480,483,477.5,522.5
21:37:25,478,530,477.5,522.5
21:37:27,487,520,477.5,522.5
21:37:30,484,516,477.5,522.5
21:37:32,481,524,477.5,522.0
21:37:35,474,518,477.5,522.0
21:37:37,467,537,477.5,522.5
21:37:39,487,523,477.5,522.5
21:37:42,480,530,477.5,522.5
21:37:44,455,536,478.0,522.5
21:37:47,474,494,478.0,522.5
21:37:49,478,523,478.0,522.5
21:37:51,452,551,478.0,522.5
21:37:53,477,521,478.0,522.5
21:37:55,464,523,477.5,522.5
21:37:58,477,530,477.5,522.5
21:38:00,457,531,477.0,521.5
21:38:03,444,521,477.0,521.5
21:38:05,474,524,477.0,521.5
21:38:08,479,523,477.0,522.5
21:38:10,470,520,477.0,522.5
21:38:12,474,523,476.5,522.5
21:38:15,487,511,476.5,522.5
21:38:17,467,560,476.5,522.0
21:38:20,472,523,476.5,522.0
21:38:22,469,507,476.5,522.0
21:38:25,480,518,476.5,522.0
21:38:27,478,520,476.5,522.0
