Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
04:30:39,546,524,0,0
04:30:42,540,488,536.0,0
04:30:44,529,490,536.0,492.0
04:30:46,543,479,536.0,492.0
04:30:49,541,501,533.5,467.0
04:30:51,500,533,533.5,467.0
04:30:54,548,493,536.0,480.0
04:30:56,532,488,536.0,480.0
04:30:59,540,486,538.5,480.0
04:31:00,533,495,538.5,475.0
04:31:03,535,475,538.5,475.0
04:31:05,535,488,541.0,476.0
04:31:08,532,483,541.0,476.0
04:31:10,543,472,542.5,476.0
04:31:12,538,490,542.5,478.0
04:31:15,541,493,542.5,478.0
04:31:17,559,486,543.0,480.0
04:31:20,543,473,543.0,480.0
04:31:22,543,381,542.0,482.5
04:31:25,534,486,542.0,482.5
04:31:27,493,467,542.0,482.5
04:31:30,544,481,543.0,482.0
04:31:32,550,505,543.0,482.0
04:31:34,541,487,542.0,483.5
04:31:37,509,494,542.0,483.5
04:31:39,548,488,543.0,485.0
04:31:42,544,424,543.0,485.0
04:31:44,542,486,543.0,485.0
04:31:47,539,479,542.0,485.0
04:31:49,538,455,542.0,485.0
04:31:51,547,488,543.0,485.0
