Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
04:38:53,536,504,0,0
04:38:56,537,481,582.0,0
04:38:58,544,485,582.0,487.0
04:39:01,536,489,582.0,487.0
04:39:02,521,439,560.5,510.5
04:39:05,547,488,560.5,510.5
04:39:07,534,492,551.0,510.5
04:39:10,538,485,551.0,487.0
04:39:12,561,480,551.0,487.0
04:39:14,542,491,545.0,488.5
04:39:17,541,486,545.0,488.5
04:39:19,534,491,539.0,490.0
04:39:22,567,503,539.0,490.0
04:39:24,531,480,533.5,490.0
04:39:27,542,464,533.5,488.5
04:39:29,544,487,533.5,488.5
04:39:31,536,487,539.0,487.0
04:39:34,548,476,539.0,487.0
04:39:36,537,510,541.5,488.5
04:39:39,551,487,541.5,488.5
04:39:41,586,488,541.5,488.5
