Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
04:49:31,537,485,0,0
04:49:33,548,470,542.0,0
04:49:36,569,485,542.0,467.0
04:49:38,540,484,542.0,467.0
04:49:40,538,439,541.5,477.5
04:49:43,536,492,541.5,477.5
04:49:45,539,484,542.0,470.0
04:49:48,535,487,542.0,470.0
04:49:50,545,482,541.5,470.0
04:49:53,525,525,541.5,479.0
04:49:55,538,488,541.5,479.0
04:49:57,516,486,541.0,483.0
04:50:00,539,477,541.0,483.0
04:50:02,534,489,541.5,485.5
04:50:04,555,491,541.5,485.5
04:50:07,545,491,541.5,485.5
04:50:09,536,485,541.0,488.0
04:50:12,569,487,541.0,488.0
04:50:14,544,465,541.5,485.5
04:50:17,516,488,541.5,485.5
04:50:19,531,506,542.0,485.5
04:50:21,495,483,542.0,483.0
04:50:24,545,488,542.0,483.0
04:50:26,541,490,542.0,485.5
04:50:29,547,492,542.0,485.5
04:50:31,541,487,542.0,485.0
04:50:34,541,482,542.0,485.0
04:50:36,544,482,541.5,485.0
04:50:39,569,467,541.5,486.5
