Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
04:52:30,533,487,0,0
04:52:33,537,487,537.0,0
04:52:35,544,478,537.0,489.0
04:52:37,540,475,537.0,489.0
04:52:40,547,496,538.0,490.0
04:52:42,539,484,538.0,490.0
04:52:45,537,491,539.0,489.0
04:52:47,537,489,539.0,489.0
04:52:50,544,486,543.5,489.0
04:52:52,541,489,543.5,487.0
04:52:55,547,483,543.5,487.0
04:52:57,536,434,548.0,489.0
04:53:00,540,497,548.0,489.0
04:53:02,539,493,543.5,487.0
04:53:05,547,497,543.5,487.0
04:53:07,540,484,542.0,487.0
04:53:09,541,486,542.0,489.0
04:53:12,543,508,542.0,489.0
04:53:14,541,485,541.0,490.0
04:53:17,523,500,541.0,490.0
