Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
10:47:30,484,514,0,0
10:47:32,475,515,479.0,0
10:47:35,478,518,479.0,512.0
10:47:37,474,509,479.0,512.0
10:47:40,476,514,479.0,514.0
10:47:42,478,463,479.0,514.0
10:47:45,473,483,479.0,512.0
10:47:47,477,525,479.0,512.0
10:47:49,481,509,478.0,512.0
10:47:52,474,489,478.0,514.0
10:47:54,481,516,478.0,514.0
10:47:57,481,517,477.0,512.0
10:47:59,474,509,477.0,512.0
10:48:02,478,506,477.5,514.0
10:48:03,474,516,477.5,514.0
10:48:06,488,512,477.5,514.0
10:48:08,485,516,478.0,514.0
10:48:11,492,506,478.0,514.0
10:48:13,446,521,478.5,513.0
10:48:16,459,515,478.5,513.0
10:48:18,528,520,479.0,513.0
10:48:20,491,523,479.0,514.0
10:48:22,492,518,479.0,514.0
10:48:24,497,514,479.0,513.0
10:48:27,502,515,479.0,513.0
10:48:29,485,520,479.0,513.0
10:48:32,514,514,479.0,514.0
10:48:34,527,506,479.0,514.0
10:48:36,511,517,480.5,513.0
10:48:38,509,515,480.5,513.0
10:48:40,533,517,480.5,513.0
10:48:43,531,516,482.0,514.0
10:48:45,541,491,482.0,514.0
10:48:48,514,509,483.0,513.0
10:48:50,527,509,483.0,513.0
10:48:52,523,524,484.0,513.0
10:48:55,496,490,484.0,514.0
10:48:57,531,508,484.0,514.0
10:48:59,542,509,484.5,513.0
10:49:02,514,517,484.5,513.0
10:49:04,521,499,484.5,513.0
10:49:07,526,498,484.5,513.0
10:49:09,539,514,484.5,513.0
10:49:12,532,515,484.5,513.0
10:49:14,530,498,484.5,513.0
10:49:17,530,546,484.5,513.0
10:49:19,527,467,484.5,513.0
10:49:21,525,513,484.5,513.0
10:49:24,533,515,484.5,513.0
10:49:26,531,560,484.5,513.0
10:49:29,537,465,484.5,513.0
10:49:31,532,490,484.5,513.0
10:49:34,515,509,484.5,513.0
10:49:36,510,510,484.5,513.0
10:49:38,532,524,484.5,513.0
10:49:41,549,513,484.5,513.0
10:49:43,510,516,484.5,513.0
10:49:46,533,511,484.5,513.0
10:49:48,532,515,484.5,513.0
10:49:51,514,515,484.5,513.0
10:49:53,527,513,484.5,513.0
10:49:55,577,509,484.5,513.0
10:49:58,520,514,484.5,513.0
10:50:00,524,509,484.5,513.0
10:50:03,534,520,484.5,513.0
10:50:05,595,509,484.5,513.0
10:50:08,531,516,484.5,513.0
10:50:10,544,499,484.5,513.0
10:50:12,524,469,484.5,513.0
10:50:15,490,516,484.5,513.0
10:50:17,543,516,484.5,513.0
10:50:20,542,497,484.5,513.0
10:50:22,531,512,484.5,513.0
10:50:25,529,528,484.5,513.0
10:50:27,527,510,484.5,513.0
10:50:29,534,516,484.5,513.0
10:50:32,528,521,484.5,513.0
10:50:34,579,516,484.5,513.0
10:50:37,530,510,484.5,513.0
10:50:39,534,512,484.5,513.0
10:50:42,528,518,484.5,513.0
10:50:44,527,513,484.5,513.0
10:50:46,501,516,484.5,513.0
10:50:49,535,521,484.5,513.0
