Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
11:02:42,516,515,0,0
11:02:44,543,524,509.0,0
11:02:47,519,511,509.0,511.0
11:02:49,533,511,509.0,511.0
11:02:52,515,510,514.5,514.0
11:02:54,520,515,514.5,514.0
11:02:56,519,508,517.0,514.0
11:02:59,530,514,517.0,514.0
11:03:01,499,522,518.5,514.0
11:03:04,516,511,518.5,515.0
11:03:06,519,514,518.5,515.0
11:03:09,515,512,517.0,514.0
11:03:11,513,510,517.0,514.0
11:03:13,542,504,517.0,512.5
11:03:16,494,517,517.0,512.5
11:03:18,510,506,517.0,512.5
11:03:21,483,514,517.0,511.0
11:03:23,509,481,517.0,511.0
11:03:26,508,490,515.5,511.0
11:03:28,518,490,515.5,511.0
11:03:30,525,495,514.0,511.0
11:03:33,524,514,514.0,511.0
11:03:35,509,509,514.0,511.0
11:03:38,492,464,515.5,512.5
11:03:40,571,506,515.5,512.5
11:03:43,513,509,517.0,511.0
11:03:45,496,519,517.0,511.0
11:03:48,516,508,517.0,511.0
11:03:50,518,514,517.0,511.0
11:03:52,516,521,517.0,511.0
11:03:55,514,502,517.0,511.0
11:03:57,518,494,517.0,511.0
11:04:00,517,508,515.5,511.0
11:04:02,498,517,515.5,511.0
11:04:05,515,517,517.0,511.0
11:04:07,517,511,517.0,511.0
11:04:09,520,513,517.0,511.0
11:04:12,514,503,517.0,511.0
11:04:14,519,502,517.0,511.0
11:04:17,516,518,517.0,511.0
11:04:19,515,513,517.0,511.0
11:04:22,522,491,517.0,511.0
11:04:24,531,509,517.0,511.0
11:04:26,499,499,517.0,511.0
11:04:29,517,512,517.0,511.0
11:04:31,523,512,517.0,511.0
11:04:34,512,512,517.0,511.0
