Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
04:48:10,545,488,0,0
04:48:13,544,482,541.0,0
04:48:15,543,473,541.0,477.0
04:48:18,547,481,541.0,477.0
04:48:19,544,481,538.5,481.5
04:48:22,545,491,538.5,481.5
04:48:24,544,481,540.0,481.5
04:48:27,541,492,540.0,481.0
04:48:29,547,488,540.0,481.0
04:48:32,585,486,538.0,483.5
04:48:34,542,486,538.0,483.5
04:48:36,541,487,536.0,486.0
04:48:39,550,488,536.0,486.0
04:48:41,538,509,536.0,486.0
04:48:44,541,462,536.0,486.0
04:48:46,549,478,536.0,486.0
04:48:49,548,487,536.0,486.0
04:48:51,541,520,536.0,486.0
04:48:58,538,494,536.0,486.0
