Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
04:44:28,546,528,0,0
04:44:30,538,488,533.0,0
04:44:33,543,492,533.0,487.0
04:44:35,487,494,533.0,487.0
04:44:38,556,488,539.5,486.0
04:44:40,538,490,539.5,486.0
04:44:43,521,483,537.0,487.0
04:44:45,538,482,537.0,487.0
04:44:48,540,484,541.5,487.0
04:44:50,544,574,541.5,486.0
04:44:52,576,485,541.5,486.0
04:44:55,532,493,537.0,487.0
04:44:57,538,490,537.0,487.0
04:45:00,519,435,537.0,493.5
04:45:02,546,486,537.0,493.5
04:45:05,555,491,537.0,493.5
04:45:07,524,482,537.0,487.0
04:45:09,539,487,537.0,487.0
04:45:12,535,531,537.0,486.0
04:45:14,545,487,537.0,486.0
04:45:17,541,470,537.0,487.0
