Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
10:58:41,530,513,0,0
10:58:43,523,517,514.0,0
10:58:46,533,479,514.0,513.0
10:58:48,526,522,514.0,513.0
10:58:50,523,521,513.5,513.5
10:58:53,533,507,513.5,513.5
10:58:55,531,513,514.0,514.0
10:58:57,529,511,514.0,514.0
10:58:59,533,512,514.0,514.0
10:59:02,524,510,522.5,513.5
10:59:04,526,544,522.5,513.5
10:59:07,528,515,530.0,514.0
10:59:08,527,512,530.0,514.0
10:59:11,532,512,530.0,514.0
10:59:13,526,512,525.0,513.5
10:59:15,524,512,525.0,513.5
10:59:18,530,513,524.0,514.0
10:59:20,523,518,524.0,514.0
10:59:23,520,511,524.0,514.0
10:59:25,550,513,527.0,513.5
10:59:28,526,504,527.0,513.5
10:59:30,534,513,524.0,514.0
10:59:32,529,509,524.0,514.0
10:59:35,530,512,525.0,513.5
10:59:36,516,503,525.0,513.5
10:59:39,511,510,525.0,513.5
10:59:41,517,509,524.0,514.0
10:59:44,512,511,524.0,514.0
10:59:46,511,516,522.5,514.0
10:59:49,518,565,522.5,514.0
10:59:51,509,517,522.5,514.0
10:59:53,515,478,521.0,514.0
10:59:56,518,510,521.0,514.0
10:59:58,522,510,521.0,513.5
11:00:01,518,489,521.0,513.5
11:00:03,521,513,521.0,513.5
11:00:06,519,513,521.0,514.0
11:00:08,518,515,521.0,514.0
11:00:11,524,520,520.5,513.5
11:00:13,516,554,520.5,513.5
11:00:15,517,527,520.0,514.0
11:00:18,514,519,520.0,514.0
11:00:20,488,556,519.5,514.0
11:00:23,525,512,519.5,513.5
11:00:25,507,516,519.5,513.5
11:00:28,516,505,519.0,513.0
11:00:30,463,512,519.0,513.0
11:00:32,518,509,519.5,513.0
11:00:35,552,516,519.5,513.0
11:00:37,518,510,519.5,513.0
11:00:40,524,512,519.5,513.0
11:00:42,538,462,519.5,513.0
11:00:45,489,512,519.5,513.0
11:00:47,525,520,519.5,513.0
11:00:49,518,526,519.5,513.0
11:00:52,517,506,519.5,513.0
11:00:54,513,564,519.5,513.0
11:00:57,518,522,519.5,513.0
