Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
05:12:04,548,482,0,0
05:12:06,542,486,516.0,0
05:12:09,560,475,516.0,488.0
05:12:11,543,480,516.0,488.0
05:12:14,548,485,541.5,490.5
05:12:16,543,484,541.5,490.5
05:12:19,587,492,538.0,489.0
05:12:21,553,485,538.0,489.0
05:12:23,535,486,538.5,489.0
05:12:26,540,480,538.5,491.0
05:12:28,537,456,538.5,491.0
05:12:31,538,490,539.0,489.0
05:12:33,542,474,539.0,489.0
05:12:35,530,489,539.5,488.5
05:12:38,547,487,539.5,488.5
05:12:40,525,491,539.5,488.5
05:12:42,514,489,539.0,488.0
05:12:44,545,492,539.0,488.0
05:12:45,543,490,539.0,488.0
05:12:47,537,490,539.5,488.0
05:12:49,539,506,539.5,488.0
05:12:51,513,439,539.5,488.0
