Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
05:21:32,536,488,0,0
05:21:34,544,484,544.0,0
05:21:37,519,484,544.0,489.0
05:21:39,544,486,544.0,489.0
05:21:42,487,483,543.5,492.0
05:21:44,542,490,543.5,492.0
05:21:47,540,480,544.0,495.0
05:21:49,526,500,544.0,495.0
05:21:51,540,479,543.5,495.0
05:21:54,534,485,543.5,492.0
05:21:56,515,485,543.5,492.0
05:21:59,540,496,543.0,489.0
05:22:01,519,479,543.0,489.0
05:22:04,542,487,542.5,489.0
05:22:06,544,503,542.5,489.0
05:22:08,548,486,542.5,489.0
05:22:11,575,494,543.0,489.0
05:22:13,539,499,543.0,489.0
05:22:16,557,493,543.5,488.5
05:22:18,580,490,543.5,488.5
05:22:21,551,493,544.0,488.0
05:22:23,542,488,544.0,488.0
05:22:25,552,489,544.0,488.0
05:22:28,538,485,543.5,488.5
05:22:30,539,490,543.5,488.5
05:22:33,546,495,543.0,489.0
05:22:35,524,472,543.0,489.0
05:22:38,541,479,543.5,489.0
05:22:40,540,484,543.5,488.5
05:22:42,514,482,543.5,488.5
05:22:45,547,457,544.0,489.0
05:22:47,549,492,544.0,489.0
05:22:50,504,492,544.5,488.5
05:22:52,542,537,544.5,488.5
05:22:55,540,485,544.0,488.5
05:22:57,533,533,544.0,488.0
05:22:59,499,482,544.0,488.0
05:23:02,540,483,543.5,488.5
05:23:04,550,486,543.5,488.5
05:23:07,543,487,543.0,489.0
05:23:09,538,477,543.0,489.0
05:23:12,540,487,543.5,489.0
05:23:14,553,491,543.5,489.0
05:23:16,541,495,543.5,489.0
05:23:19,547,491,543.0,489.0
05:23:21,540,478,543.0,489.0
05:23:24,543,491,543.5,489.0
05:23:26,540,490,543.5,489.0
05:23:29,539,476,542.5,489.0
05:23:31,497,508,542.5,490.0
