Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
05:08:30,545,484,0,0
05:08:32,534,485,546.0,0
05:08:35,520,485,546.0,491.0
05:08:37,540,492,546.0,491.0
05:08:39,544,486,542.0,484.5
05:08:42,544,496,542.0,484.5
05:08:44,542,488,538.0,491.0
05:08:47,540,487,538.0,491.0
05:08:49,530,482,542.0,491.0
05:08:51,540,487,542.0,492.5
05:08:53,542,506,542.0,492.5
05:08:55,530,492,543.0,492.5
05:08:57,536,507,543.0,491.0
05:08:59,523,488,543.0,491.0
05:09:02,544,490,541.0,486.5
05:09:04,538,492,541.0,486.5
05:09:06,549,586,539.0,486.5
05:09:09,542,465,539.0,484.0
