Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
04:57:25,549,477,0,0
04:57:28,526,481,542.0,0
04:57:30,547,479,542.0,486.0
04:57:33,560,490,542.0,486.0
04:57:35,542,487,535.0,487.0
04:57:38,535,482,535.0,487.0
04:57:40,538,486,542.0,488.0
04:57:42,546,536,542.0,488.0
04:57:45,534,488,542.0,488.0
04:57:47,546,478,542.0,487.0
04:57:49,519,486,542.0,487.0
04:57:51,503,467,542.0,486.0
04:57:54,507,473,542.0,486.0
04:57:57,545,496,542.5,486.0
04:57:59,564,479,542.5,487.0
04:58:01,493,497,542.5,487.0
04:58:04,533,493,542.0,488.0
04:58:06,579,489,542.0,488.0
04:58:09,543,452,542.5,488.0
04:58:11,536,495,542.5,488.0
04:58:14,553,489,543.0,488.0
04:58:16,524,455,543.0,488.0
04:58:18,497,486,543.0,488.0
04:58:21,533,486,542.5,488.0
04:58:23,532,471,542.5,488.0
04:58:26,545,488,542.0,488.0
04:58:28,569,485,542.0,488.0
04:58:31,505,541,542.0,488.0
