Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
05:38:59,542,486,0,0
05:39:01,532,478,543.0,0
05:39:04,548,506,543.0,497.0
05:39:06,540,486,543.0,497.0
05:39:09,536,487,544.0,502.0
05:39:11,558,487,544.0,502.0
05:39:13,544,484,544.0,497.0
05:39:16,540,487,544.0,497.0
05:39:18,494,486,544.0,497.0
05:39:21,540,481,544.5,492.0
05:39:23,551,492,544.5,492.0
05:39:25,531,494,544.0,491.0
05:39:28,539,484,544.0,491.0
05:39:30,546,484,543.5,491.0
05:39:32,541,481,543.5,489.0
05:39:35,541,488,543.5,489.0
05:39:37,535,481,543.0,491.0
05:39:40,518,496,543.0,491.0
05:39:42,542,522,543.5,489.0
05:39:45,545,486,543.5,489.0
05:39:47,537,498,544.0,489.0
05:39:49,544,502,544.0,488.0
05:39:52,552,501,544.0,488.0
05:39:54,548,489,543.5,488.5
05:39:57,535,468,543.5,488.5
05:39:59,540,484,543.0,488.0
05:40:02,543,487,543.0,488.0
05:40:04,532,495,542.5,488.0
05:40:07,540,494,542.5,488.5
05:40:09,544,487,542.5,488.5
05:40:11,540,487,542.0,488.0
05:40:14,531,465,542.0,488.0
05:40:16,542,476,542.5,488.5
05:40:19,537,485,542.5,488.5
05:40:21,528,488,542.5,488.5
05:40:24,593,496,542.0,489.0
05:40:26,543,490,542.0,489.0
05:40:28,542,492,542.0,488.5
05:40:31,542,533,542.0,488.5
05:40:33,542,516,542.0,488.0
05:40:35,543,478,542.0,488.0
05:40:37,553,498,542.0,488.0
05:40:40,539,464,542.0,488.5
05:40:42,538,484,542.0,488.5
05:40:45,531,471,542.0,488.5
05:40:47,559,494,542.0,488.0
05:40:49,542,485,542.0,488.0
05:40:51,542,459,542.0,487.5
05:40:53,540,478,542.0,487.5
05:40:56,540,490,541.0,487.5
05:40:58,535,485,541.0,486.5
05:41:01,542,481,541.0,486.5
05:41:03,573,469,540.0,486.5
